,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,first_case,Start date,End date,Length (days),Level
89,Honduras,472594,,"11,114                                ",,N/A,N/A,N/A,105,"46,236","1,087","1,658,999","162,309","10,221,247 ",North America,22,920,6,,,"32,181",11 March 2020,2020-03-20,2020-05-17,58,National
90,Armenia,449062,,"8,747                                ",,"435,162",,"5,153",,"151,099","2,943","3,242,901","1,091,164","2,971,966 ",Asia,7,340,1,,,"1,734",1 March 2020,2020-03-24,2020-05-04,41,National
91,Bosnia and Herzegovina,402890,,"16,339                                ",,"379,084",,"7,467",,"123,992","5,028","1,884,721","580,036","3,249,317 ",Europe,8,199,2,,,"2,298",5 March 2020,Non-Lockdown,,,
92,Oman,399449,,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993 ",Asia,13,"1,150",0,,,"1,907",24 February 2020,2020-04-10,2020-05-29,49,Governorate
93,North Macedonia,348215,,"9,676                                ",,"337,068",,"1,471",,"167,306","4,649","2,226,216","1,069,626","2,081,304 ",Europe,6,215,1,,,707,26 February 2020,Non-Lockdown,,,
94,Zambia,343910,,"4,058                                ",,"339,811",,41,,"17,663",208,"4,033,092","207,141","19,470,234 ",Africa,57,"4,798",5,,,2,18 March 2020,Non-Lockdown,,,
95,Kenya,343073,,"5,688                                ",,"337,309",,76,1,"6,103",101,"3,967,062","70,569","56,215,221 ",Africa,164,"9,883",14,,,1,13 March 2020,Non-Lockdown,,,
96,Albania,334726,,"3,602                                ",,"329,428",,"1,696",,"116,777","1,257","1,941,032","677,173","2,866,374 ",Europe,9,796,1,,,592,8 March 2020,2020-03-13,2020-06-01,80,National
97,Botswana,329856,,"2,801                                ",,"327,049",,6,1,"135,123","1,147","2,026,898","830,300","2,441,162 ",Africa,7,872,1,,,2,30 March 2020,2020-04-02,2020-04-30,28,National
98,Luxembourg,319959,,"1,232                                ",,"316,690",,"2,037",,"498,091","1,918","4,587,145","7,140,959","642,371 ",Europe,2,521,0,,,"3,171",29 February 2020,Non-Lockdown,,,
